indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6
226,1.0,R Aerial Pass,05:39:14,05:41:14,05:42:14,,B3,b8,TB,a4,,
227,2.0,R Aerial Pass,05:41:09,05:43:09,05:44:09,,TB,b3,B4,d3,,
228,9.0,R Unsucc Pass,05:43:05,05:45:05,05:46:05,,B4,d3,TB,c2,Bloopers,
229,27.0,R Grounded Pass,05:51:23,05:53:23,05:54:23,,TG,d4,G3,e1,,
230,28.0,R Grounded Pass,05:52:24,05:54:24,05:55:24,,G3,e2,TG,a6,,
231,29.0,R Grounded Pass,05:57:04,05:59:04,06:00:04,,TG,a6,G3,g9,,
232,6.0,L Grounded Pass,05:57:17,05:59:17,06:00:17,,G3,g9,TG,g7,,
233,30.0,R Grounded Pass,06:02:06,06:04:06,06:05:06,,TG,g10,G3,g11,,
234,3.0,R Shot On,06:04:01,06:06:01,06:07:01,,G3,f11,s17,,,
235,10.0,R Unsucc Pass,06:17:21,06:19:21,06:20:21,,B3,e7,TB,b4,,
236,4.0,R Goal,06:28:12,06:30:12,06:31:12,,TG,f12,s14,Big Chance,,
237,11.0,R Unsucc Pass,06:41:13,06:43:13,06:44:13,,B4,f10,TB,f6,,
238,31.0,R Grounded Pass,06:47:22,06:49:22,06:50:22,,G3,f11,TG,e10,,
239,7.0,L Grounded Pass,06:59:05,07:01:05,07:02:05,,TG,c4,G3,c8,,
240,12.0,R Unsucc Pass,07:00:18,07:02:18,07:03:18,,G3,c8,TG,a9,,
241,13.0,R Unsucc Pass,07:02:20,07:04:20,07:05:20,,TB,a8,B4,c5,,
242,32.0,R Grounded Pass,07:04:12,07:06:12,07:07:12,,G3,c6,TG,a9,,
243,33.0,R Grounded Pass,07:08:02,07:10:02,07:11:02,,TG,a9,G3,g11,,
244,14.0,R Unsucc Pass,07:09:14,07:11:14,07:12:14,,G3,h11,TG,c10,,
245,15.0,R Unsucc Pass,07:15:03,07:17:03,07:18:03,,B4,g5,TB,i3,,
246,34.0,R Grounded Pass,07:24:11,07:26:11,07:27:11,,TG,c2,G3,d6,,
247,35.0,R Grounded Pass,07:30:01,07:32:01,07:33:01,,G3,f10,TG,c11,,
248,4.0,R Shot Wide,07:31:03,07:33:03,07:34:03,,TG,d11,OT 1,Big Chance,,
249,8.0,L Grounded Pass,07:42:24,07:44:24,07:45:24,,TB,d5,TB,b3,HLs,
250,5.0,R Goal,07:52:15,07:54:15,07:55:15,,TG,e12,s9,Big Chance,Tap In,
251,36.0,R Grounded Pass,08:04:19,08:06:19,08:07:19,,TB,e4,B4,g3,,
252,5.0,R Shot Wide,08:07:14,08:09:14,08:10:14,,B4,f2,OT 8,,,
253,37.0,R Grounded Pass,08:15:00,08:17:00,08:18:00,,TG,c4,G3,a4,,
254,38.0,R Grounded Pass,08:15:17,08:17:17,08:18:17,,G3,a4,TG,c3,,
255,3.0,R Aerial Pass,08:21:11,08:23:11,08:24:11,,TG,f12,G3,d12,,
256,39.0,R Grounded Pass,08:22:18,08:24:18,08:25:18,,G3,d12,TG,e12,,
257,6.0,R Shot Wide,08:23:10,08:25:10,08:26:10,,TG,e12,OT 8,Big Chance,,
258,16.0,R Unsucc Pass,08:43:16,08:45:16,08:46:16,,TG,d5,G3,b7,,
259,17.0,R Unsucc Pass,08:49:13,08:51:13,08:52:13,,TB,a2,B4,d2,,
260,4.0,R Aerial Pass,08:53:20,08:55:20,08:56:20,,TG,d1,G3,g3,,
261,18.0,R Unsucc Pass,08:56:09,08:58:09,08:59:09,,G3,g6,TG,c8,,
262,40.0,R Grounded Pass,09:02:11,09:04:11,09:05:11,,TG,c11,G3,f11,,
263,6.0,R Goal,09:03:15,09:05:15,09:06:15,,G3,f11,s17,Big Chance,HLs,
264,41.0,R Grounded Pass,09:09:14,09:11:14,09:12:14,,B4,f9,TB,h9,,
265,42.0,R Grounded Pass,09:13:07,09:15:07,09:16:07,,TB,g9,B3,e10,,
266,43.0,R Grounded Pass,09:14:18,09:16:18,09:17:18,,B3,e10,B4,f6,,
267,44.0,R Grounded Pass,09:15:21,09:17:21,09:18:21,,B4,f6,TB,h4,,
268,45.0,R Grounded Pass,09:17:22,09:19:22,09:20:22,,TB,g4,B4,f4,,
269,19.0,R Unsucc Pass,09:23:02,09:25:02,09:26:02,,B4,c4,TB,g2,,
270,20.0,R Unsucc Pass,09:26:01,09:28:01,09:29:01,,TG,c3,G3,h5,,
271,46.0,R Grounded Pass,09:36:01,09:38:01,09:39:01,,TG,c10,G3,f10,,
272,47.0,R Grounded Pass,09:37:13,09:39:13,09:40:13,,G3,f10,TG,c3,,
273,9.0,L Grounded Pass,09:54:18,09:56:18,09:57:18,,TG,g9,G3,i9,,
274,48.0,R Grounded Pass,09:56:09,09:58:09,09:59:09,,G3,i9,TG,g6,,
275,7.0,R Goal,10:00:03,10:02:03,10:03:03,,B4,f6,s17,HLs,,
276,49.0,R Grounded Pass,11:02:20,11:04:20,11:05:20,,B4,d8,TB,b4,,
277,3.0,L Unsucc Pass,11:06:22,11:08:22,11:09:22,,TB,e4,B3,f2,,
278,50.0,R Grounded Pass,11:09:23,11:11:23,11:12:23,,G3,f9,TG,g11,,
279,2.0,R Shot Post,11:10:21,11:12:21,11:13:21,,TG,g11,s18,Big Chance,,
280,51.0,R Grounded Pass,11:27:11,11:29:11,11:30:11,,B4,f10,TB,c7,,
281,52.0,R Grounded Pass,11:29:13,11:31:13,11:32:13,,TB,c7,B3,e4,,
282,4.0,R Shot On,11:31:08,11:33:08,11:34:08,,B3,e2,s16,,,
283,1.0,L Goal,11:33:24,11:35:24,11:36:24,,TB,f2,s13,,,
284,53.0,R Grounded Pass,11:45:10,11:47:10,11:48:10,,G3,c6,TG,h5,,
285,21.0,R Unsucc Pass,11:49:20,11:51:20,11:52:20,,TG,g6,G3,h10,,
