indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6,shotXPrelim,shotYPrelim,shotX,shotY,goalpoint,distY,distX,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,prevD5,prevD6,prevCat,isThroughball,isGround,goalLoc,minute
347,16.0,R Goal,19:24:16,19:26:16,19:27:16,,TB,f1,s22,Big Chance,nan,,f,1,6,1,0,1,1,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,0,nan,nan,R Grounded Pass,0,1,s22,19
350,4.0,L Goal,19:44:14,19:46:14,19:47:14,,TG,f12,s8,nan,nan,,f,12,6,12,13,1,1,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s8,19
352,17.0,R Goal,19:58:09,20:00:09,20:01:09,,B3,b1,s13,nan,nan,,b,1,2,1,0,1,3,3.1622776601683795,18.43494882292201,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s13,20
353,18.0,R Goal,20:25:06,20:27:06,20:28:06,,TG,d12,s22,nan,nan,,d,12,4,12,13,1,1,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,nan,nan,R Goal,0,0,s22,20
356,19.0,R Goal,21:01:01,21:03:01,21:04:01,,TG,f12,s10,nan,nan,,f,12,6,12,13,1,1,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,nan,nan,L Grounded Pass,0,1,s10,21
363,20.0,R Goal,21:29:12,21:31:12,21:32:12,,TG,d12,s17,Big Chance,nan,,d,12,4,12,13,1,1,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,0,nan,nan,L Grounded Pass,0,1,s17,21
365,3.0,R Shot Post,21:44:00,21:46:00,21:48:13,,B4,c2,s13,Bloopers,nan,,c,2,3,2,0,2,2,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,nan,nan,R Aerial Pass,0,0,s13,21
367,1.0,R Goal,46:00:00,46:02:00,46:03:00,,TG,e11,s24,nan,nan,,e,11,5,11,13,2,0,2.0,90.0,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s24,46
369,1.0,L Goal,46:45:24,46:47:24,46:48:24,,TG,e11,s19,nan,nan,,e,11,5,11,13,2,0,2.0,90.0,1,1,1,0,0,0,0,nan,nan,R Unsucc Pass,0,0,s19,46
372,1.0,R Shot Wide,48:50:23,48:52:23,48:53:23,,B5,f3,OT 6,nan,nan,,f,3,6,3,0,3,1,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,OT 6,48
373,2.0,R Goal,50:00:13,50:02:13,50:03:13,,TB,e3,s22,nan,nan,,e,3,5,3,0,3,0,3.0,90.0,1,1,1,0,0,0,0,nan,nan,R Shot Wide,0,0,s22,50
375,2.0,L Goal,51:34:16,51:36:16,51:37:16,,TG,g10,s7,nan,nan,,g,10,7,10,13,3,2,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,nan,nan,L Grounded Pass,0,1,s7,51
376,3.0,L Goal,52:11:09,52:13:09,52:14:09,,TG,e11,s20,nan,nan,,e,11,5,11,13,2,0,2.0,90.0,1,1,1,0,0,0,0,nan,nan,L Goal,0,0,s20,52
378,3.0,R Goal,52:34:21,52:36:21,52:37:21,,TB,f3,s21,nan,nan,,f,3,6,3,0,3,1,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,nan,nan,R Unsucc Pass,0,0,s21,52
379,4.0,R Goal,54:11:04,54:13:04,54:14:04,,TG,d8,s8,nan,nan,,d,8,4,8,13,5,1,5.0990195135927845,78.6900675259798,1,1,1,0,0,0,0,nan,nan,R Goal,0,0,s8,54
381,5.0,R Goal,54:29:09,54:31:09,54:32:09,,TB,d3,s22,Big Chance,Tap In,,d,3,4,3,0,3,1,3.1622776601683795,71.56505117707799,1,1,1,0,1,0,1,nan,nan,R Grounded Pass,0,1,s22,54
385,4.0,L Goal,56:43:23,56:45:23,56:46:23,,TG,d9,s14,nan,nan,,d,9,4,9,13,4,1,4.123105625617661,75.96375653207352,1,1,1,0,0,0,0,HLs,nan,R Grounded Pass,0,1,s14,56
386,6.0,R Goal,57:40:00,57:42:00,57:43:00,,TG,i9,s10,nan,nan,,i,9,9,9,13,4,4,5.656854249492381,44.99999999999999,1,1,1,0,0,0,0,nan,nan,L Goal,0,0,s10,57
390,7.0,R Goal,59:28:07,59:30:07,59:31:07,,TB,e3,s18,nan,nan,,e,3,5,3,0,3,0,3.0,90.0,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s18,59
391,8.0,R Goal,59:58:05,60:00:05,60:01:05,,TG,e10,s19,nan,nan,,e,10,5,10,13,3,0,3.0,90.0,1,1,1,0,0,0,0,nan,nan,R Goal,0,0,s19,60
393,5.0,L Goal,60:16:10,60:18:10,60:19:10,,TG,f11,s17,nan,nan,,f,11,6,11,13,2,1,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,nan,nan,R Unsucc Pass,0,0,s17,60
