,Des_1,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,isThroughball,goalLoc
1088,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s15
1090,B6,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,0,0,s22
1093,TB,1.0,90.0,1,1,0,0,1,0,0,1,s17
1096,B6,3.605551275463989,33.69006752597979,1,0,0,0,0,0,0,0,s13
1098,B6,2.23606797749979,63.43494882292201,1,1,1,0,1,0,0,0,s22
1102,B6,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,1,0,s10
1103,TG,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s16
1113,TG,1.0,90.0,1,1,1,0,0,0,0,0,s21
1114,TG,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s22
1116,B6,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s10
1122,B6,3.0,90.0,1,1,1,0,0,0,0,0,s17
1123,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s8
1125,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s17
1128,TB,5.0,90.0,1,0,0,0,0,0,0,0,OT 4
1138,TB,2.0,90.0,1,1,0,0,0,0,0,1,s16
1142,TG,1.0,90.0,1,1,1,0,0,0,0,0,s14
1143,TB,2.23606797749979,26.56505117707799,1,1,1,0,0,0,0,0,s13
1147,B6,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,0,s10
1148,TG,11.0,90.0,1,1,1,0,0,0,0,0,s14
1149,TG,1.0,90.0,1,1,1,0,1,0,0,0,s16
1157,TG,2.23606797749979,63.43494882292201,1,1,1,0,1,0,0,0,s10
1161,B6,5.0990195135927845,78.6900675259798,1,1,0,0,0,0,0,0,s10
1163,TG,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s13
1165,TG,2.0,90.0,1,1,1,0,0,0,0,0,s23
1167,B6,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s20
1171,TG,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s22
1173,B6,3.0,90.0,1,1,0,0,0,0,0,0,s16
1178,B6,4.0,90.0,1,1,1,0,0,0,0,0,s12
1187,TB,2.0,90.0,1,1,1,0,0,0,0,0,s22
1189,B6,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,0,OT 8
1190,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s18
1197,TG,2.0,90.0,1,1,1,0,0,0,0,0,s8
1205,TB,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s16
1210,TG,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s10
1220,TB,3.0,90.0,1,1,1,0,0,0,0,0,s17
1226,TG,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s20
1229,B3,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s5
1234,B2,2.0,90.0,1,1,0,0,0,0,0,0,s20
1240,TB,2.0,90.0,1,1,1,0,1,0,0,1,s23
1242,TG,2.0,90.0,1,1,1,0,0,0,0,1,s16
1256,B2,6.324555320336759,71.56505117707799,1,1,0,0,0,0,0,0,s17
1265,G1,5.656854249492381,44.99999999999999,1,0,0,0,0,0,0,0,s18
1267,G1,1.0,90.0,1,1,0,0,1,0,0,1,s20
1270,B3,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s9
1274,G1,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s22
